message;systemsGroup;system;file;answer;doa;commit;blame;newApproach;doaV;CommitV;blameV;nDevs;isFirst;DE;nChanges;devCommits;nCommits;LoComm;LoCode;devChurn;fileChurn;daysLastChange;daysLC;daysSurvey;nComAfter;dateLC;last10-s;last10
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/AppController.java;1;TRUE;TRUE;FALSE;TRUE;0,64904;0,25;0,00971;3;FALSE;1;5;1;7;0;88;4;267;97;152;175;1;26:43,0;nynnnnn;1
OK Maintainer;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/config/HotUserProfileApp.java;5;FALSE;FALSE;FALSE;FALSE;0,89665;1;1;2;FALSE;2;2;2;3;0;10;43;52;182;182;205;0;18:43,0;yyn;2
Non-Maintainers failure;Commercial;hot-marketplace;hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/config/HotUserProfileApp.java;1;TRUE;TRUE;TRUE;TRUE;1;0,5;0,75;2;TRUE;0;2;1;3;0;10;9;52;182;328;351;2;06:13,0;nny;1
OK Non-Maintainers;Commercial;hot-marketplace;hot-funnel-ejb/src/main/java/com/hotmart/marketplace/funnel/service/impl/FunnelServiceImpl.java;3;FALSE;FALSE;FALSE;FALSE;0,24371;0,02857;0,00447;5;FALSE;1;42;1;43;29;403;26;1681;0;153;176;26;37:28,0;nnnnnnnnnn;0
OK Maintainer;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RefundController.java;5;FALSE;FALSE;FALSE;FALSE;0,78671;0,5;0,49275;3;FALSE;1;3;1;4;0;100;35;129;12;40;63;2;29:43,0;nnyn;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RefundController.java;3;TRUE;TRUE;TRUE;TRUE;1;0,5;1;3;TRUE;0;3;1;4;0;100;70;129;12;153;176;3;53:57,0;nnny;1
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RefundController.java;2;TRUE;TRUE;TRUE;TRUE;0,86125;1;0,17391;3;FALSE;2;3;2;4;0;100;24;129;12;12;35;0;06:54,0;yynn;2
OK Maintainer;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PostbackService.java;4;FALSE;FALSE;FALSE;FALSE;0,63973;0,42857;0,22222;4;FALSE;3;14;3;16;0;13;34;110;36;36;59;0;28:45,0;yynnnynnnn;3
OK Maintainer;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PostbackService.java;5;FALSE;FALSE;FALSE;FALSE;0,68083;0,57143;1;4;FALSE;4;14;4;16;0;13;28;110;36;40;63;2;39:19,0;nnyyynynnn;4
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/ProductPurchaseNotifierFactoryImpl.java;1;TRUE;TRUE;TRUE;TRUE;1;1;1;2;TRUE;3;4;4;5;5;32;50;54;237;244;267;1;21:45,0;nyyyy;4
Non-Maintainers failure;Commercial;hot-marketplace;hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/ProductPurchaseNotifierFactoryImpl.java;2;TRUE;TRUE;FALSE;TRUE;0,64628;0,25;0,04545;2;FALSE;1;4;1;5;5;32;4;54;237;237;260;0;38:40,0;ynnnn;1
Maintainers failure;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationRequestServiceImpl.java;4;TRUE;TRUE;TRUE;TRUE;0,33894;0,15625;0,03553;4;FALSE;5;49;5;50;13;225;46;1227;34;75;98;3;00:06,0;nnnyynnnnn;2
OK Maintainer;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationRequestServiceImpl.java;5;FALSE;FALSE;FALSE;FALSE;1;1;1;4;TRUE;31;49;32;50;13;225;1115;1227;34;77;100;5;15:08,0;nnnnnynyyn;3
Maintainers failure;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationRequestServiceImpl.java;4;TRUE;FALSE;TRUE;TRUE;0,39921;0,25;0,06091;4;FALSE;8;49;8;50;13;225;50;1227;34;34;57;0;11:24,0;yyynnnynnn;4
OK Non-Maintainers;Commercial;hot-marketplace;hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationRequestServiceImpl.java;2;FALSE;FALSE;FALSE;FALSE;0,33894;0,15625;0,02538;4;FALSE;5;49;5;50;13;225;16;1227;34;92;115;9;51:18,0;nnnnnnnnny;1
Maintainers failure;Commercial;hot-marketplace;hot-listboss-ejb/src/main/java/com/hotmart/listboss/provider/impl/ListBossIntegrationInfusionsoft.java;4;TRUE;TRUE;TRUE;TRUE;0,53354;0,125;0;3;FALSE;1;10;1;11;0;97;4;333;113;152;175;3;00:44,0;nnnynnnnnn;1
