system;threshold;nAuthorsHit;doaAuthorHit;commitAuthorHit;blameAuthorHit;nNotAuthorsHit;doaNotAuthorHit;commitNotAuthorHit;blameNotAuthorHit;firstDevHit;lastDevHit;allHits;allHitsDoa;allHitsCommits;allHitsBlame
hot-vulcano;0;223;223;223;207;145;0;0;33;22;37;368;223;223;240
hot-vulcano;0,1;223;222;194;147;145;3;39;84;22;37;368;225;233;231
hot-vulcano;0,2;223;221;161;112;145;8;74;107;22;37;368;229;235;219
hot-vulcano;0,3;223;217;134;84;145;16;101;116;22;37;368;233;235;200
hot-vulcano;0,4;223;202;108;71;145;26;119;126;22;37;368;228;227;197
hot-vulcano;0,5;223;184;101;66;145;45;120;130;22;37;368;229;221;196
hot-vulcano;0,6;223;157;77;59;145;74;127;134;22;37;368;231;204;193
hot-vulcano;0,7;223;103;65;54;145;107;132;137;22;37;368;210;197;191
hot-vulcano;0,8;223;58;61;53;145;127;132;138;22;37;368;185;193;191
hot-vulcano;0,9;223;28;53;53;145;137;134;139;22;37;368;165;187;192
hot-vulcano;1;223;25;52;52;145;140;134;139;22;37;368;165;186;191
marketplace;0;77;74;74;62;83;0;0;0;34;30;160;74;74;62
marketplace;0,1;77;74;74;47;83;0;5;22;34;30;160;74;79;69
marketplace;0,2;77;74;68;44;83;0;17;29;34;30;160;74;85;73
marketplace;0,3;77;74;63;43;83;0;25;31;34;30;160;74;88;74
marketplace;0,4;77;74;59;42;83;3;34;33;34;30;160;77;93;75
marketplace;0,5;77;71;59;42;83;6;37;35;34;30;160;77;96;77
marketplace;0,6;77;67;50;41;83;17;49;37;34;30;160;84;99;78
marketplace;0,7;77;59;49;40;83;34;50;37;34;30;160;93;99;77
marketplace;0,8;77;49;49;39;83;48;50;37;34;30;160;97;99;76
marketplace;0,9;77;38;49;39;83;57;50;37;34;30;160;95;99;76
marketplace;1;77;38;49;36;83;61;50;37;34;30;160;99;99;73
Commercial #2;0;103;103;103;99;172;0;0;23;23;20;275;103;103;122
Commercial #2;0,1;103;102;91;71;172;15;96;137;23;20;275;117;187;208
Commercial #2;0,2;103;97;80;58;172;41;135;153;23;20;275;138;215;211
Commercial #2;0,3;103;92;63;50;172;61;144;159;23;20;275;153;207;209
Commercial #2;0,4;103;86;58;47;172;89;151;161;23;20;275;175;209;208
Commercial #2;0,5;103;79;55;45;172;111;152;165;23;20;275;190;207;210
Commercial #2;0,6;103;62;45;40;172;134;157;166;23;20;275;196;202;206
Commercial #2;0,7;103;51;36;36;172;152;163;166;23;20;275;203;199;202
Commercial #2;0,8;103;38;35;35;172;163;165;166;23;20;275;201;200;201
Commercial #2;0,9;103;33;33;34;172;169;166;166;23;20;275;202;199;200
Commercial #2;1;103;28;33;34;172;170;166;166;23;20;275;198;199;200
hot-marketplace;0;134;134;134;124;180;0;0;29;47;42;314;134;134;153
hot-marketplace;0,1;134;130;117;84;180;7;52;117;47;42;314;137;169;201
hot-marketplace;0,2;134;124;96;70;180;16;90;138;47;42;314;140;186;208
hot-marketplace;0,3;134;116;82;65;180;40;112;142;47;42;314;156;194;207
hot-marketplace;0,4;134;106;74;61;180;59;121;147;47;42;314;165;195;208
hot-marketplace;0,5;134;95;71;59;180;81;126;148;47;42;314;176;197;207
hot-marketplace;0,6;134;84;58;57;180;96;143;152;47;42;314;180;201;209
hot-marketplace;0,7;134;75;54;55;180;127;149;156;47;42;314;202;203;211
hot-marketplace;0,8;134;64;52;53;180;147;150;158;47;42;314;211;202;211
hot-marketplace;0,9;134;54;50;50;180;161;152;158;47;42;314;215;202;208
hot-marketplace;1;134;49;48;50;180;164;152;158;47;42;314;213;200;208
