"";"systemsGroup";"system";"file";"devId";"dev_answer";"doa";"commit";"blame";"doaValue";"commitValue";"blameValue";"isFA";"DE";"AC";"nCommits";"LOC";"daysLastCommit";"nComAfter";"commitsPerc"
"1";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/rest/AppController.java";"dev-5459";1;"miss";"miss";"hit";"0,64904";"0,25";"0,00971";FALSE;1;4;5;88;152;1;14,2857142857143
"2";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/config/HotUserProfileApp.java";"dev-5446";5;"hit";"hit";"hit";"0,89665";"1";"1";FALSE;2;0;2;10;182;0;66,6666666666667
"3";"Commercial";"commercial#1";"hot-userprofile-web/src/main/java/com/hotmart/marketplace/userprofile/config/HotUserProfileApp.java";"dev-5449";1;"miss";"miss";"miss";"1";"0,5";"0,75";TRUE;0;2;2;10;328;2;33,3333333333333
"4";"Commercial";"commercial#1";"hot-funnel-ejb/src/main/java/com/hotmart/marketplace/funnel/service/impl/FunnelServiceImpl.java";"dev-5459";3;"hit";"hit";"hit";"0,24371";"0,02857";"0,00447";FALSE;1;41;42;403;153;26;2,32558139534884
"5";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RefundController.java";"dev-5456";5;"hit";"hit";"hit";"0,78671";"0,5";"0,49275";FALSE;1;2;3;100;40;2;25
"6";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RefundController.java";"dev-5458";3;"miss";"miss";"miss";"1";"0,5";"1";TRUE;0;3;3;100;153;3;25
"7";"Commercial";"commercial#1";"hot-purchase-web/src/main/java/com/hotmart/marketplace/rest/RefundController.java";"dev-5453";2;"miss";"miss";"miss";"0,86125";"1";"0,17391";FALSE;2;1;3;100;12;0;50
"8";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PostbackService.java";"dev-5455";4;"hit";"hit";"hit";"0,63973";"0,42857";"0,22222";FALSE;3;11;14;13;36;0;18,75
"9";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/PostbackService.java";"dev-5457";5;"hit";"hit";"hit";"0,68083";"0,57143";"1";FALSE;4;10;14;13;40;2;25
"10";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/ProductPurchaseNotifierFactoryImpl.java";"dev-5446";1;"miss";"miss";"miss";"1";"1";"1";TRUE;3;1;4;32;244;1;80
"11";"Commercial";"commercial#1";"hot-purchase-ejb/src/main/java/com/hotmart/marketplace/purchase/service/impl/ProductPurchaseNotifierFactoryImpl.java";"dev-5451";2;"miss";"miss";"hit";"0,64628";"0,25";"0,04545";FALSE;1;3;4;32;237;0;20
"12";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationRequestServiceImpl.java";"dev-5449";4;"miss";"miss";"miss";"0,33894";"0,15625";"0,03553";FALSE;5;44;49;225;75;3;10
"13";"Commercial";"commercial#1";"hot-affiliation-ejb/src/main/java/com/hotmart/marketplace/affiliation/service/impl/AffiliationRequestServiceImpl.java";"dev-5446";5;"hit";"hit";"hit";"1";"1";"1";TRUE;31;18;49;225;77;5;64
